epoch,loss,accuracy,val_loss,val_accuracy,lr
1,50.858436584472656,0.43589743971824646,37.211669921875,0.46666666865348816,0.0010000000474974513
2,8.268659591674805,0.6623931527137756,0.5619011521339417,0.7333333492279053,0.0010000000474974513
3,1.2600691318511963,0.7136752009391785,0.30546167492866516,0.8833333253860474,0.0010000000474974513
4,0.2596776485443115,0.9145299196243286,0.25781869888305664,0.9333333373069763,0.0010000000474974513
5,0.20589801669120789,0.9487179517745972,0.20577934384346008,0.9833333492279053,0.0010000000474974513
6,0.1649511754512787,0.9700854420661926,0.17005294561386108,1.0,0.0010000000474974513
7,0.13901376724243164,0.9829059839248657,0.14653301239013672,1.0,0.0010000000474974513
8,0.13242985308170319,0.9786324501037598,0.12550880014896393,1.0,0.0010000000474974513
9,0.11477261781692505,0.9914529919624329,0.1096615344285965,1.0,0.0010000000474974513
10,0.10169084370136261,1.0,0.09336889535188675,1.0,0.0010000000474974513
11,0.0850832611322403,1.0,0.08303570747375488,1.0,0.0010000000474974513
12,0.07564865052700043,1.0,0.07220231741666794,1.0,0.0010000000474974513
13,0.06708194315433502,1.0,0.06398527324199677,1.0,0.0010000000474974513
14,0.060308054089546204,1.0,0.05587334558367729,1.0,0.0010000000474974513
15,0.05590242147445679,1.0,0.050114527344703674,1.0,0.0010000000474974513
16,0.05085092782974243,1.0,0.04534478858113289,1.0,0.0010000000474974513
17,0.04683995991945267,1.0,0.040767911821603775,1.0,0.0010000000474974513
18,0.04295312613248825,1.0,0.036173947155475616,1.0,0.0010000000474974513
19,0.039155878126621246,1.0,0.032065026462078094,1.0,0.0010000000474974513
20,0.035692181438207626,1.0,0.02882777526974678,1.0,0.0010000000474974513
21,0.03277966380119324,1.0,0.025863371789455414,1.0,0.0010000000474974513
22,0.03007553704082966,1.0,0.02321477420628071,1.0,0.0010000000474974513
23,0.027826858684420586,1.0,0.020832443609833717,1.0,0.0010000000474974513
24,0.025826839730143547,1.0,0.018904542550444603,1.0,0.0010000000474974513
25,0.023917201906442642,1.0,0.017339523881673813,1.0,0.0010000000474974513
26,0.022334648296236992,1.0,0.01581570692360401,1.0,0.0010000000474974513
27,0.021002843976020813,1.0,0.014344973489642143,1.0,0.0010000000474974513
28,0.019470619037747383,1.0,0.013206178322434425,1.0,0.0010000000474974513
29,0.01827261596918106,1.0,0.01204446330666542,1.0,0.0010000000474974513
30,0.017104344442486763,1.0,0.011022158898413181,1.0,0.0010000000474974513
